,bigram,score
0,katser_buchkovska,1962.6458333333333
1,ivano_frankivsk,1672.3136094674558
2,gender_equality,1223.4675324675325
3,liliia_hrynevych,1196.279365079365
4,wayback_machine,1180.5388471177944
5,sasha_bezuhanova,1131.6156156156155
6,petro_poroshenko,1107.9452284946237
7,autonomous_okrug,1070.534090909091
8,saint_petersburg,1044.725650916104
9,khatia_dekanoidze,1039.047794117647
10,real_estate,897.209523809524
11,orthodox_church,826.3771929824561
12,volodymyr_zelenskyy,668.7275953859805
13,galyna_mykhailiuk,658.7902097902098
14,politically_motivated,640.8639455782313
15,orange_revolution,627.1176035502958
16,tara_shevchenko,625.6631878557874
17,sanctioned_uk,584.7331034482759
18,chukotka_autonomous,560.7559523809523
19,monika_panayotova,557.4378698224851
20,hanna_herman,536.2827324478178
21,song_contest,509.7781385281385
22,yelena_mizulina,505.50097560975615
23,princess_olga,459.54634146341465
24,igor_dodon,441.5953125
25,eurovision_song,395.827731092437
26,maia_sandu,389.7452718676123
27,vladimir_putin,378.43076559546313
28,dmitry_medvedev,373.83730158730157
29,lviv_polytechnic,355.23001508295624
30,publishing_house,347.0784210526316
31,armed_force,332.29982363315696
32,viktor_yushchenko,321.57132698051487
33,verkhovna_rada,309.35199398639026
34,anti_corruption,296.07914285714287
35,written_directed,285.4757575757576
36,non_governmental,285.4757575757576
37,human_right,284.8427736343479
38,documentary_film,278.24852320675103
39,master_degree,264.62640449438203
40,natural_gas,252.66245210727968
41,non_partisan,251.8903743315508
42,tv_channel,249.7912878787879
43,oksana_pushkina,235.5175
44,associate_professor,229.35362142422397
45,civil_society,226.78623013962448
46,air_force,224.302380952381
47,medium_related,223.9025549613785
48,civic_platform,220.62529274004683
49,alexander_lukashenko,216.67850753897264
50,viktor_yanukovych,204.04927575470424
51,inter_factional,203.9112554112554
52,semi_final,199.169133192389
53,irina_bokova,187.41445623342176
54,freedom_speech,186.49575791855202
55,criminal_case,186.3025708635465
56,internal_affair,179.06492597038815
57,valentina_rudchenko,173.1746323529412
58,electoral_district,169.8571106603561
59,gold_medal,163.83826086956523
60,united_kingdom,157.50046120142972
61,oksana_shachko,157.01166666666668
62,prime_minister,156.0869807616804
63,self_reliance,152.93344155844156
64,relation_russo,147.22144085013284
65,new_york,146.4736978491837
66,top_influential,145.77485493230174
67,secondary_school,145.26249433106577
68,yulia_tymoshenko,143.13306097643323
69,law_enforcement,142.75451684345495
70,wikimedia_common,142.7378787878788
71,climate_change,142.7378787878788
72,foreign_affair,142.69070830579423
73,constitutional_court,140.18898809523807
74,servant_people,133.27721581665133
75,higher_education,133.10251177394036
76,th_convocation,129.2103324010327
77,press_conference,125.91713076408999
78,currently_serving,123.43684486373166
79,th_century,121.60972461273667
80,anna_hutsol,120.93324775353015
81,co_founder,119.60722530009234
82,second_round,119.35008445945947
83,took_place,118.38181216931217
84,prosecutor_general,112.82275449101796
85,soviet_union,112.6726130314669
86,police_officer,110.18362573099415
87,took_part,109.9758441091954
88,started_working,105.73176206509541
89,draft_law,92.40207938272411
90,united_nation,90.86876840288355
91,civil_servant,90.71449205584977
92,war_donbas,89.4653371320038
93,republic_karelia,85.44852607709751
94,uk_government,83.08228238821766
95,politics_different,82.63771929824561
96,inna_shevchenko,82.1333914559721
97,state_duma,81.79093423083519
98,receiving_vote,81.7650802835238
99,czech_republic,80.10799319727892
100,co_chair,78.99193756449948
101,space_station,78.50583333333334
102,county_regional,77.06094069529652
103,dialogue_hungary,76.90367346938775
104,kyiv_mohyla,76.01425497579343
105,vice_president,73.31172180175781
106,law_firm,72.16162389888932
107,information_policy,70.26339644291451
108,group_relation,68.48278259770224
109,influential_woman,67.56418838154434
110,bachelor_degree,66.15660112359551
111,house_representative,65.24030470914127
112,legislative_assembly,65.15507569353723
113,russian_federation,64.51564248609463
114,christian_democratic,63.825880758807585
115,year_old,63.653378378378385
116,supreme_council,63.18376928236083
117,prosecutor_office,61.57320261437908
118,hungarian_socialist,61.487086247086246
119,public_administration,61.30002957704821
120,academy_science,61.20318336852363
121,inter_parliamentary,61.06433317128504
122,russian_invasion,60.426790791207274
123,co_author,60.25667032163742
124,high_school,58.74586167800453
125,supreme_soviet,58.53790389395195
126,secretary_general,57.85782281590665
127,european_integration,57.71073266356286
128,presidential_election,57.67937872987276
129,world_bank,57.65422276621786
130,education_science,57.26869300911854
131,federation_council,56.872674386696666
132,communist_party,56.68911378555799
133,council_europe,55.19402402109169
134,odesa_oblast,54.51793981481481
135,republic_moldova,53.564747690120825
136,labour_social,50.29201366645313
