,bigram,score
0,lavizzo_mourey,8163.900000000001
1,bin_laden,8096.429752066116
2,ogilvy_mather,7653.65625
3,horatio_alger,7653.65625
4,puerto_rico,7421.727272727273
5,buena_salud,6803.25
6,procter_gamble,6803.25
7,condé_nast,6664.408163265306
8,betit_yen,6664.408163265306
9,britt_cool,6597.09090909091
10,di_donato,6597.09090909091
11,stitch_fix,5831.357142857142
12,lapointe_jameson,5831.357142857142
13,drace_brownell,5831.357142857142
14,desmond_hellmann,5585.826315789474
15,coca_cola,5582.153846153847
16,hewlett_packard,5488.336134453782
17,alma_mater,5183.428571428572
18,palo_alto,5183.428571428572
19,roe_wade,5102.4375
20,bonwit_teller,4947.818181818182
21,hong_kong,4837.866666666667
22,mayflower_madam,4830.710059171597
23,pottery_barn,4535.5
24,wolters_kluwer,4535.5
25,lutoff_perlo,4535.5
26,minimum_wage,4453.036363636364
27,callahan_erdoes,4186.615384615385
28,simon_schuster,4161.508245877061
29,julien_farel,4081.9500000000003
30,olive_leaf,3887.5714285714284
31,gilliss_chapman,3887.5714285714284
32,disc_jockey,3887.5714285714284
33,gil_amelio,3887.5714285714284
34,rent_runway,3841.835294117647
35,breakenridge_deirdre,3767.9538461538464
36,ben_ishay,3753.5172413793102
37,von_tobel,3717.9051233396585
38,planned_parenthood,3710.8636363636365
39,hirano_inouye,3682.9624060150372
40,warner_bros,3588.5274725274726
41,phi_beta,3455.6190476190473
42,graf_stai,3401.625
43,dow_corning,3401.625
44,gwynnie_bee,3401.625
45,pamela_henderson,3401.625
46,babineaux_fontenot,3332.204081632653
47,cum_laude,3225.2444444444445
48,douglas_elliman,3118.1562500000005
49,beta_kappa,3023.6666666666665
50,dana_farber,3023.6666666666665
51,sydney_biddle,2915.678571428571
52,sun_microsystems,2915.678571428571
53,magna_cum,2902.72
54,houde_walter,2824.878892733564
55,goldman_sachs,2815.137931034483
56,baked_melissa,2791.0769230769233
57,carbon_dioxide,2791.0769230769233
58,woodrow_wilson,2744.168067226891
59,hue_sang,2721.3
60,carnegie_mellon,2701.2904411764707
61,hurricane_katrina,2685.493421052631
62,ice_cream,2667.9411764705883
63,jansen_nichols,2591.714285714286
64,zolli_candy,2578.0736842105266
65,ralph_lauren,2551.21875
66,leon_guerrero,2536.8813223140496
67,walt_disney,2473.909090909091
68,liz_claiborne,2416.9440789473683
69,warren_buffett,2401.1470588235293
70,neiman_marcus,2401.1470588235293
71,jpmorgan_chase,2286.8067226890757
72,sub_saharan,2267.75
73,notre_dame,2267.75
74,http_www,2199.030303030303
75,rich_dad,2177.04
76,silicon_valley,2138.6910569105694
77,fossil_fuel,2093.3076923076924
78,keeping_kardashians,2040.9750000000001
79,worcester_polytechnic,2040.9750000000001
80,motion_picture,2040.9750000000001
81,hach_darrow,1979.1272727272728
82,lillian_vernon,1943.7857142857142
83,exhibition_catalogue,1943.7857142857142
84,santa_clara,1943.7857142857142
85,mckissack_daniel,1936.1027667984188
86,sharon_lechter,1920.9176470588236
87,roman_catholic,1866.0342857142857
88,harper_bazaar,1855.4318181818182
89,port_deposit,1855.4318181818182
90,covid_pandemic,1774.7608695652173
91,fastest_growing,1737.0
92,mcelveen_hunter,1712.7062937062938
93,joe_biden,1675.218878248974
94,seed_spark,1666.1020408163265
95,rhode_island,1657.201923076923
96,wayback_machine,1649.2727272727275
97,op_ed,1608.6502463054187
98,chamber_commerce,1594.51171875
99,lemoyne_owen,1569.9807692307693
100,maria_hinojosa,1569.9807692307693
101,pulitzer_prize,1555.0285714285715
102,oil_spill,1546.1931818181818
103,multiple_myeloma,1511.8333333333333
104,vishakha_desai,1511.8333333333333
105,sexual_harassment,1484.3454545454545
106,ronald_reagan,1484.3454545454545
107,artificial_intelligence,1477.6289592760181
108,mitt_romney,1457.8392857142856
109,driver_hudson,1448.1419068736143
110,de_blasio,1435.410989010989
111,vanity_fair,1432.2631578947367
112,supreme_court,1419.808695652174
113,sigma_theta,1395.5384615384617
114,ch_hill,1395.5384615384617
115,booz_allen,1372.0840336134454
116,summa_cum,1360.65
117,intellectual_property,1360.65
118,task_force,1349.404958677686
119,william_morrow,1331.070652173913
120,morning_consult,1327.4634146341464
121,running_mate,1319.418181818182
122,williams_sonoma,1316.758064516129
123,wall_street,1297.9495714818033
124,mochi_ice,1295.857142857143
125,hiv_aid,1291.464406779661
126,guam_legislature,1282.8985714285716
127,situation_awareness,1273.122807017544
128,hillary_clinton,1271.314393939394
129,gina_keatley,1255.9846153846154
130,super_pac,1255.9846153846154
131,estée_lauder,1255.9846153846154
132,la_opinión,1249.5765306122448
133,rite_aid,1229.966101694915
134,clinical_trial,1214.8660714285713
135,morgan_stanley,1213.6157804459692
136,filing_date,1209.4666666666667
137,juris_doctor,1176.0720288115247
138,real_estate,1175.8703703703704
139,flournoy_michèle,1166.2714285714285
140,los_angeles,1147.9936668097896
141,square_foot,1133.875
142,marie_claire,1126.0551724137931
143,hall_fame,1105.803295959064
144,hatch_act,1099.5151515151515
145,barack_obama,1086.047696301103
146,st_louis,1081.5283018867924
147,jenkins_scott,1065.1873252562907
148,karen_kane,1060.2467532467533
149,innocent_man,1060.2467532467533
150,occidental_petroleum,1060.2467532467533
151,publicly_traded,1007.8888888888888
152,honorary_doctorate,1002.300594059406
153,robin_hood,966.1420118343195
154,maher_katherine,959.3301997649824
155,san_francisco,956.0356578947368
156,humane_letter,922.1024606696249
157,archived_original,899.603305785124
158,lockheed_martin,888.5877551020408
159,peer_reviewed,887.3804347826086
160,donald_trump,882.0023715415019
161,north_carolina,880.0071861666293
162,lds_church,856.3531468531469
163,highest_ranking,851.8852173913044
164,precision_medicine,845.452427184466
165,supply_chain,844.5413793103448
166,venture_capitalist,833.0510204081633
167,air_force,831.5660809778457
168,terra_han,825.4701718907987
169,cleveland_clinic,819.9038737446198
170,annie_malone,818.4360902255638
171,san_diego,790.8778125
172,middle_east,782.4166456494326
173,michelle_lemmon,777.5142857142857
174,santa_monica,777.5142857142857
175,net_worth,759.0402892561983
176,richard_nixon,758.5505226480836
177,grupo_cisneros,755.9166666666666
178,isbn_oclc,750.3054082714741
179,appearance_span,750.2330827067668
180,negro_league,735.4864864864865
181,quality_assurance,735.4864864864865
182,non_profit,734.1636690647482
183,nbc_universal,725.68
184,ten_speed,725.68
185,nature_conservancy,725.68
186,girl_scout,724.216935483871
187,criminal_justice,716.1315789473683
188,kitty_hach,706.8311688311688
189,wood_johnson,699.9056950398041
190,id_software,696.9182926829269
191,huffington_post,693.9013303769401
192,gave_birth,691.437386569873
193,henry_crown,680.325
194,eastern_europe,680.325
195,bloomberg_businessweek,680.325
196,hedge_fund,677.7183908045977
197,start_ups,676.3794531897266
198,gerald_ford,671.925925925926
199,la_vega,666.4408163265307
200,little_tokyo,663.7317073170732
201,lifetime_achievement,661.3420342034203
202,southern_methodist,647.9285714285714
203,seton_hill,647.9285714285714
204,breast_cancer,647.9285714285714
205,renewable_energy,646.6455445544555
206,incumbent_democrat,645.3675889328063
207,saint_vintage,625.5862068965517
208,ernst_young,622.5196078431372
209,hot_topic,619.650853889943
210,net_porter,618.4772727272727
211,maternal_grandfather,600.2867647058823
212,low_income,580.647226173542
213,bay_area,574.02421875
214,climate_change,568.8394838709678
215,british_empire,566.9375
216,huda_beauty,564.4874675885912
217,think_tank,555.3673469387755
218,susan_davis,552.9492017416545
219,homeland_security,548.8336134453782
220,smithsonian_institution,544.26
221,white_house,542.8314960629921
222,usa_today,533.1526530612246
223,lou_leon,523.8866310160428
224,keynote_speaker,523.3269230769231
225,angel_investor,513.683595505618
226,greenwich_connecticut,511.0422535211268
227,peace_corp,502.39384615384614
228,private_equity,502.2834541858932
229,federal_reserve,490.03001200480196
230,james_beard,486.67064083457524
231,adjunct_professor,485.40468227424753
232,strategic_planning,481.29108327192336
233,robert_wood,478.5872007816316
234,royal_caribbean,469.1896551724138
235,diversity_inclusion,468.5164992826399
236,boy_girl,466.50857142857143
237,skin_care,461.6976047904192
238,john_hopkins,459.334208552138
239,japanese_koto,457.3613445378151
240,kourtney_kim,457.3613445378151
241,credit_card,455.65953488372094
242,random_house,449.2304761904762
243,conflict_interest,441.2918918918919
244,rising_star,431.9523809523809
245,golden_globe,429.67894736842106
246,deadline_hollywood,425.203125
247,space_station,420.819587628866
248,gro_intelligence,418.66153846153844
249,betty_liu,412.31818181818187
250,celebrity_cruise,412.31818181818187
251,south_korea,411.84544829167623
252,fifth_avenue,398.72527472527474
253,data_analytics,390.61722488038276
254,georgette_mosbacher,388.75714285714287
255,sara_lee,380.6013986013986
256,telephone_doctor,378.6595547309833
257,single_stop,377.9583333333333
258,sacred_heart,376.2165898617512
259,turnbo_malone,373.6338672768879
260,la_prairie,370.2448979591837
261,stock_price,369.741847826087
262,jessica_mcclintock,369.40723981900453
263,st_century,364.82174776564057
264,meier_frank,362.84
265,washington_dc,361.5900590551181
266,civil_right,361.3798792756539
267,sport_illustrated,358.85274725274724
268,filed_divorce,353.4155844155844
269,prize_winner,349.8814285714286
270,staten_island,348.8846153846154
271,atlanta_georgia,348.8846153846154
272,susan_komen,342.3018867924529
273,san_antonio,340.1625
274,prior_joining,340.0208246563932
275,annie_turnbo,338.0496894409938
276,english_literature,338.0496894409938
277,medicare_medicaid,335.962962962963
278,mitchell_anne,331.1926977687627
279,marissa_mayer,328.52716297786725
280,general_electric,326.3928035982009
281,latin_america,325.9475645461805
282,oil_gas,323.9642857142857
283,mcgraw_hill,323.9642857142857
284,oral_history,322.6837944664031
285,enough_enough,322.0473372781065
286,foreign_relation,320.6244477172312
287,mit_sloan,320.15294117647056
288,carly_fiorina,319.6828193832599
289,legislature_leon,318.074025974026
290,northern_virginia,318.074025974026
291,doctor_humane,315.20849420849424
292,eva_longoria,315.20849420849424
293,asia_pacific,313.99615384615385
294,kim_kardashian,313.09300095877273
295,robert_kiyosaki,305.76404494382024
296,higher_education,305.360396039604
297,base_salary,302.3666666666667
298,venture_capital,302.07480694980694
299,older_sister,301.9193786982248
300,democratic_party,301.4098101265823
301,laura_bush,301.3332877648667
302,great_grandfather,300.14338235294116
303,filed_lawsuit,299.04395604395603
304,deputy_assistant,295.79347826086956
305,ambassador_finland,291.04812834224595
306,highest_paid,290.272
307,stock_exchange,288.5790031813362
308,southern_california,283.8098676293622
309,current_dollar,283.37035751475184
310,economic_forum,282.7324675324675
311,steve_case,280.54639175257734
312,emotional_intelligence,279.10769230769233
313,next_generation,277.54881010199125
314,continues_serve,277.21222410865875
315,lisa_hoffman,275.15672396359963
316,optical_society,273.9563758389262
317,george_bush,271.22591362126246
318,sex_marriage,271.11332503113323
319,attorney_general,270.13103037522336
320,th_anniversary,270.1042183622829
321,heart_disease,267.8151995626025
322,gary_hart,266.79411764705884
323,good_men,261.2448
324,aspen_institute,257.265756302521
325,distinguished_alumnus,255.92163009404388
326,long_island,253.73426573426573
327,county_incumbent,250.97628458498025
328,graduated_magna,249.995023923445
329,mobile_phone,244.79460269865066
330,election_cycle,244.67232767232767
331,michelle_obama,243.69850746268656
332,cowboy_venture,242.97321428571428
333,south_africa,241.39266706091072
334,general_counsel,241.0169082125604
335,reserve_bank,238.62331019364268
336,fashion_designer,237.94520547945206
337,internal_medicine,237.78349514563106
338,bachelor_degree,237.26902832047017
339,operating_officer,235.26318891836135
340,hair_care,234.65101796407185
341,raise_money,233.25428571428571
342,secretary_defense,230.05428253615128
343,bill_clinton,229.06565656565655
344,fox_news,228.92730802415878
345,independent_venue,227.82976744186047
346,john_kennedy,227.82976744186047
347,san_jose,226.775
348,front_page,226.14681440443212
349,web_site,225.2110344827586
350,younger_sister,224.28296703296704
351,death_row,224.28296703296704
352,performing_art,224.0094512195122
353,consulting_firm,222.79271476032275
