,articles
0,"Irina Andreyevna Kozhanova (Russian: Ирина Андреевна Кожанова; born 6 July 1987) is a Russian politician serving as a senator from Smolensk Oblast since 22 October 2021.


== Biography ==
Irina Kozhanova was born 6 July 1987 in Smolensk. In 2009, she graduated from the Smolensk State Academy of Physical Culture, Sport and Tourism. From 2004 to 2014, she worked as a trainer-teacher at a specialized children's and youth sports school of the Olympic reserve. In 2012, she joined the Liberal Democratic Party of Russia. From 2013 to 2014, she headed the youth organization of the Smolensk branch of the party. From 2014 to 2018, Kozhanova was the assistant to the deputy of the State Duma of the Russian Federation from the LDPR Yaroslav Nilov in the Smolensk Oblast. From 2015 to 2018, she was the deputy of the Smolensk City Council. From 2018 to 2021, she was the deputy of the Smolensk Oblast Duma. On 22 October 2021, she became the senator from the Smolensk Oblast Duma.


=== Sanctions ===
Irina Kozhanova is under personal sanctions introduced by the European Union, the United Kingdom, the USA, Canada, Switzerland, Australia, Ukraine, New Zealand, for ratifying the decisions of the ""Treaty of Friendship, Cooperation and Mutual Assistance between the Russian Federation and the Donetsk People's Republic and between the Russian Federation and the Luhansk People's Republic"" and providing political and economic support for Russia's annexation of Ukrainian territories.


== References =="
1,"Mariya Aleksandrovna Kozhevnikova (Russian: Мари́я Алекса́ндровна Коже́вникова; born November 14, 1984) is a Russian actress and a politician.
Kozhevnikova was voted the hottest woman in Russia in November 2011. She was a Deputy of the State Duma of the Russian Federation (2011–2016).


== Early life and career ==
Kozhevnikova was born in 1984, in the family of a Soviet hockey player, two-time Olympic champion, Merited Master of Sports Alexander Kozhevnikov and English teacher Margarita Kozhevnikova. 
Kozhevnikova's grandfather, Major General, participant of the Great Patriotic War Valentin Nikolaevich Trofimov (1923-2013).
Kozhevnikova has a brother and a sister.
Kozhevnikova is the ""Master of Sports"" in rhythmic gymnastics, champion of Moscow. Graduated from the RATI-GITIS in 2006.
In 2001, when Kozhevnikova was only a teenager, she starred in the video for the song ""You Will Become An Adult"" by the Lyceum group. In 2002, Kozhevnikova chose RATI-GITIS to participate in the Love Stories music group. In 2005, while studying at the institute, she began her career as an actress, participating in extras and playing secondary roles.
Kozhevnikova is known for her role in the Russian TV series ""Univer"".
In September 2009, The Playboy magazine published eight photographs of Kozhevnikova, in five of which she is completely naked.


== Personal life ==
At the end of August 2013, Kozhevnikova and her boyfriend at the time, businessman Yevgeny Vasilyev, got married in St. Nicholas Cathedral in Nice, France. The official registration of the marriage did not take place, which means that they are not officially married at the moment.
Kozhevnikova has three children, all of them are boys.
Her first son Ivan was born in January 2014.Since May 2018, Ukraine imposed sanctions on Kozhevnikova.On August 30, 2023, Kozhevnikova announced her fourth pregnancy.


== Filmography ==


=== Films ===


=== TV series ===


== References ==


== External links ==
[1]
Mariya Kozhevnikova at IMDb"
