Barbara Borys-Damięcka,Poland
Bożena Borys-Szopa,Poland
Beata Bublewicz,Poland
Barbara Bubula,Poland
Agnieszka Buczyńska,Poland
Margareta Budner,Poland
Bożenna Bukiewicz,Poland
Teresa Ceglecka-Zielonka,Poland
Małgorzata Chmiel,Poland
Dominika Chorosińska,Poland
Daniela Chrapkiewicz,Poland
Alicja Chybicka,Poland
Zofia Czernow,Poland
Teresa Czerwińska,Poland
Dorota Czudowska,Poland
Lena Dąbkowska-Cichocka,Poland
Anna Dąbrowska-Banaszek,Poland
Danuta Dmowska,Poland
Barbara Dolniak,Poland
Aleksandra Dulkiewicz,Poland
Agnieszka Dziemianowicz-Bąk,Poland
Maria Dziuba,Poland
Barbara Dziuk,Poland
Jadwiga Emilewicz,Poland
Joanna Fabisiak,Poland
Monika Falej,Poland
Jolanta Fedak,Poland
Janina Fetlińska,Poland
Magdalena Filiks,Poland
Barbara Frączek,Poland
Karolina Gajewska,Poland
Kinga Gajewska,Poland
Kamila Gasiuk-Pihowicz,Poland
Ewa Gawęda,Poland
Grażyna Gęsicka,Poland
Zyta Gilowska,Poland
Teresa Glenc,Poland
Marta Golbik,Poland
Małgorzata Golińska,Poland
Agnieszka Gorgoń-Komor,Poland
Agnieszka Górska,Poland
Małgorzata Gosiewska,Poland
Janina Goss,Poland
Krystyna Gozdawa-Nocoń,Poland
Zofia Grabczan,Poland
Manuela Gretkowska,Poland
Anna Grodzka,Poland
Hanna Gronkiewicz-Waltz,Poland
Małgorzata Gryniewicz,Poland
Hanna Gucwińska,Poland
Alina Gut,Poland
Teresa Hałas,Poland
Katarzyna Hall,Poland
Iwona Hartwich,Poland
Paulina Hennig-Kloska,Poland
Jolanta Hibner,Poland
Danuta Hojarska,Poland
Klaudia Jachira,Poland
Elżbieta Jakubiak,Poland
Ewa Janik,Poland
Bogna Janke,Poland
Elżbieta Jankowska,Poland
Małgorzata Janowska,Poland
Izabela Jaruga-Nowacka,Poland
Joanna Jaśkowiak,Poland
Ewa Junczyk-Ziomecka,Poland
Teresa Kalina,Poland
Beata Kempa,Poland
Małgorzata Kidawa-Błońska,Poland
Ewa Kierzkowska,Poland
Izabela Kloc,Poland
Joanna Kluzik-Rostkowska,Poland
Magdalena Kochan,Poland
Beata Kocik,Poland
Agnieszka Kołacz-Leszczyńska,Poland
Ewa Kołodziej,Poland
Domicela Kopaczewska,Poland
Małgorzata Kopiczko,Poland
Katarzyna Kotula,Poland
Bronisława Kowalska,Poland
Ewa Kozanecka,Poland
Katarzyna Kretkowska,Poland
Elżbieta Kruk,Poland
Anna Krupka,Poland
Marta Kubiak,Poland
Maria Kurowska,Poland
Anna Kwiecień,Poland
Marta Lempart,Poland
Gabriela Lenartowicz,Poland
Ewa Leniart,Poland
Izabela Leszczyna,Poland
Sandra Lewandowska,Poland
Dorota Łoboda,Poland
Magdalena Łośko,Poland
Katarzyna Lubnauer,Poland
Anna Łukaszewska-Trzeciakowska,Poland
Krystyna Łukaszuk,Poland
Wanda Łyżwińska,Poland
Marzena Machałek,Poland
Beata Maciejewska,Poland
Marlena Maląg,Poland
Beata Małecka-Libera,Poland
Ewa Malik,Poland
Jagna Marczułajtis,Poland
Barbara Marianowska,Poland
Gabriela Masłowska,Poland
Mirosława Masłowska,Poland
Ewa Matecka,Poland
Paulina Matysiak,Poland
Iwona Michałek,Poland
Joanna Mihułka,Poland
Anna Milczanowska,Poland
Aldona Młyńczak,Poland
Halina Molka,Poland
Gabriela Morawska-Stanecka,Poland
Anna Moskwa,Poland
Izabela Mrzygłocka,Poland
Joanna Mucha,Poland
Halina Murias,Poland
Aleksandra Natalli-Świat,Poland
Barbara Nowacka,Poland
Maria Nowak (politician),Poland
Danuta Nowicka,Poland
Wanda Nowicka,Poland
Stanisława Anna Okularczyk,Poland
Alicja Olechowska,Poland
Małgorzata Olejnik,Poland
Halina Olendzka,Poland
Daria Gosek-Popiołek,Poland
Dorota Olko,Poland
Violeta Alexandru,Romania
Roberta Anastase,Romania
Ecaterina Andronescu,Romania
Luminița Anghel,Romania
Monica Anisie,Romania
Mitzura Arghezi,Romania
Clotilde Armand,Romania
Sulfina Barbu,Romania
Elena Băsescu,Romania
Ana Birchall,Romania
Anca Boagiu,Romania
Silvia Ciornei,Romania
Gabriela Crețu,Romania
Anca Dragu,Romania
Liana Dumitrescu,Romania
Marilena Dumitrescu,Romania
Gabriela Firea,Romania
Astrid Fodor,Romania
Alina Gorghiu,Romania
Maria Grapini,Romania
Csilla Hegedüs,Romania
Monica Iacob Ridzi,Romania
Diana Iovanovici Șoșoacă,Romania
Leonida Lari,Romania
Ligia Deca,Romania
Victoria Longher,Romania
Luminița Odobescu,Romania
Simona-Alice Man,Romania
Ramona Mănescu,Romania
Mioara Mantale,Romania
Viorica Moisuc,Romania
Mona Muscă,Romania
Norica Nicolai,Romania
Oana Niculescu-Mizil,Romania
Maria Petre,Romania
Anca Petrescu,Romania
Sorina-Luminița Plăcintă,Romania
Rovana Plumb,Romania
Mihaela Popa,Romania
Hildegard Puwak,Romania
Adriana Săftoiu,Romania
Lavinia Șandru,Romania
Daciana Sârbu,Romania
Sevil Shhaideh,Romania
Alexandra Sidorovici,Romania
Rodica Stănoiu,Romania
Corina Șuteu,Romania
Christine Thellmann,Romania
Silvia Adriana Țicău,Romania
Ana-Maria Trăsnea,Romania
Raluca Turcan,Romania
Elena Udrea,Romania
Lia Olguța Vasilescu,Romania
Renate Weber,Romania
Tatyana Bakalchuk,RU
Yelena Baturina,RU
Veronika Belotserkovskaya,RU
Elena Bunina,RU
Maria Butina,RU
Olga Dergunova,RU
Natalya Kaspersky,RU
Dolores Kondrashova,RU
Inna Latiševa,RU
Julia Lemigova,RU
Oreoluwa Lesi,RU
Anna Loginova,RU
Anya Verkhovskaya,RU
Viktoria Abramchenko,RU
Yelena Afanasyeva (politician),RU
Elvira Aitkulova,RU
Lyudmila Alexeyeva,RU
Olga Amelchenkova,RU
Nina Andreyeva,RU
Alevtina Aparina,RU
Maria Arbatova,RU
Alyona Arshinova,RU
Valentina Artamonova,RU
Tatyana Astrakhankina,RU
Sardana Avksentyeva,RU
Nadezhda Babkina,RU
Olga Batalina,RU
Marina Bartsyts,RU
Irina Belykh,RU
Darya Besedina,RU
Yelena Bondarenko (Russian politician),RU
Tatiana Butskaya,RU
Roza Chemeris,RU
Olga Dergunova,RU
Oksana Dmitriyeva,RU
Yelena Drapeko,RU
Maria Drobot,RU
Yekaterina Duntsova,RU
Tatyana Dyakonova,RU
Oksana Fadina,RU
Irina Filatova,RU
Tamara Frolova,RU
Maria Gaidar,RU
Alla Gerber,RU
Olga Germanova,RU
Tatyana Gigel,RU
Olga Glatskikh,RU
Anzhelika Glazkova,RU
Elmira Glubokovskaya,RU
Tatyana Golikova,RU
Olga Golodets,RU
Ksenia Goryacheva,RU
