name,country
Gisela Manderla,Germany
Caren Marks,Germany
Zanda Martens,Germany
Dorothee Martin,Germany
Franziska Mascheck,Germany
Katja Mast,Germany
Susanne Menge,Germany
Angela Merkel,Germany
Angelika Mertens,Germany
Dagmar Metzger,Germany
Corinna Miazga,Germany
Swantje Michaelsen,Germany
Kathrin Michel,Germany
Susanne Mittag,Germany
Amira Mohamed Ali,Germany
Cornelia Möhring,Germany
Claudia Moll,Germany
Siemtje Möller,Germany
Elisabeth Motschmann,Germany
Wiebke Muhsal,Germany
Beate Müller-Gemmeke,Germany
Bettina Müller (politician),Germany
Claudia Müller (politician),Germany
Florian Müller (politician),Germany
Karin Mueller,Germany
Michelle Müntefering,Germany
Andrea Nahles,Germany
Sara Nanni,Germany
Rasha Nasr,Germany
Żaklin Nastić,Germany
Luisa Neubauer,Germany
Mona Neubaur,Germany
Laura Neugebauer,Germany
Ophelia Nick,Germany
Christa Nickels,Germany
Petra Nicolaisen,Germany
Ulli Nissen,Germany
Katharina Nocun,Germany
Michaela Noll,Germany
Claudia Nolte,Germany
Kristina Nordt,Germany
Simone Oldenburg,Germany
Helma Orosz,Germany
Josephine Ortleb,Germany
Melanie Oßwald,Germany
Karoline Otte,Germany
Cansu Özdemir,Germany
Aygül Özkan,Germany
Aydan Özoğuz,Germany
Katja Pähle,Germany
Ingrid Pahlmann,Germany
Sylvia Pantel,Germany
Wiebke Papenbrock,Germany
Petra Pau,Germany
Gabriele Pauli,Germany
Rose Pauly (politician),Germany
Lisa Paus,Germany
Natalie Pawlik,Germany
Simone Peter,Germany
Olga Petersen,Germany
Frauke Petry,Germany
Beatrix Philipp,Germany
Paula Piechotta,Germany
Cornelia Pieper,Germany
Yvonne Ploetz,Germany
Filiz Polat,Germany
Birgit Pommer,Germany
Sabine Poschmann,Germany
Kerstin Radomski,Germany
Claudia Raffelhüschen,Germany
Mechthild Rawert,Germany
Lucy Redler,Germany
Anke Rehlinger,Germany
Katherina Reiche,Germany
Heidi Reichinnek,Germany
Carola Reimann,Germany
Anja Reinalter,Germany
Henriette Reker,Germany
Ingrid Remmers,Germany
Margot von Renesse,Germany
Martina Renner,Germany
Ye-One Rhie,Germany
Isolde Ries,Germany
Barbara Rinke,Germany
Hannelore Roedel,Germany
Elke Christina Roeder,Germany
Hannelore Rönsch,Germany
Anne Janssen,Germany
Barbara Lenk (politician),Germany
Jessica Rosenthal,Germany
Claudia Roth,Germany
Petra Roth,Germany
Manuela Rottmann,Germany
Tina Rudolph,Germany
Corinna Rüffer,Germany
Susann Rüthrich,Germany
Sarah Ryglewski,Germany
Krista Sager,Germany
Diana Sartor,Germany
Maike Schaefer,Germany
Anita Schäfer,Germany
Jamila Schäfer,Germany
Rebecca Schamber,Germany
Annette Schavan,Germany
Klara Schedlich,Germany
Gunnar Schellenberger,Germany
Marion Schick,Germany
Marianne Schieder,Germany
Ulrike Schielke-Ziesing,Germany
Peggy Schierenbeck,Germany
Jana Schimke,Germany
Dagmar Schipanski,Germany
Ursula Schleicher,Germany
Katrin Schmidberger,Germany
Gabi Schmidt,Germany
Mirjam Schmidt,Germany
Renate Schmidt,Germany
Ulla Schmidt,Germany
Claudia Schmidtke,Germany
Daniela Schmitt,Germany
Julia Schneider,Germany
Charlotte Schneidewind-Hartnagel,Germany
Marlene Schönberger,Germany
Nadine Schön,Germany
Julia Schramm,Germany
Eva Schreiber,Germany
Michaele Schreyer,Germany
Kristina Schröder,Germany
Ria Schröder,Germany
Christina-Johanne Schröder,Germany
Katina Schubert,Germany
Helga Schuchardt,Germany
Ursula Schulte,Germany
Kordula Schulz-Asche,Germany
Anja Schulz,Germany
Katharina Schulze,Germany
Svenja Schulze,Germany
Marina Schuster,Germany
Rita Schwarzelühr-Sutter,Germany
Manuela Schwesig,Germany
Cornelia Seibeld,Germany
Lina Seitzl,Germany
Melis Sekmen,Germany
Anja Siegesmund,Germany
Heide Simonis,Germany
Petra Sitte,Germany
Judith Skudelny,Germany
Evrim Sommer,Germany
Sarah Sorge,Germany
Anne-Monika Spallek,Germany
Barbara Spaniol,Germany
Merle Spellerberg,Germany
Anne Spiegel,Germany
Anke Spoorendonk,Germany
Iris Spranger,Germany
Svenja Stadler,Germany
Grietje Staffelt,Germany
Katrin Staffler,Germany
Nina Stahr,Germany
Martina Stamm-Fibich,Germany
Barbara Stamm,Germany
Claudia Stamm,Germany
Karola Stange,Germany
Bettina Stark-Watzinger,Germany
Miriam Staudte,Germany
Sonja Steffen,Germany
Erika Steinbach,Germany
Eva Steininger-Bludau,Germany
Kersten Steinke,Germany
Hanna Steinmüller,Germany
Nadja Sthamer,Germany
Diana Stöcker,Germany
Silke Stokar von Neuforn,Germany
Monika Stolz,Germany
Marie-Agnes Strack-Zimmermann,Germany
Karin Strenz,Germany
Gisela Stuart,Germany
Christina Stumpp,Germany
Margit Stumpp,Germany
Katja Suding,Germany
Rita Süssmuth,Germany
Sabine Sütterlin-Waack,Germany
Anita Tack,Germany
Kerstin Tack,Germany
Kirsten Tackmann,Germany
Jessica Tatti,Germany
Claudia Tausend,Germany
Silke Tesch,Germany
Awet Tesfaiesus,Germany
Dietlind Tiemann,Germany
Antje Tillmann,Germany
Aminata Touré (German politician),Germany
Ana-Maria Trăsnea,Germany
Elke Twesten,Germany
Johanna Uekermann,Germany
Katrin Uhlig,Germany
Julia Verlinden,Germany
Kerstin Vieregge,Germany
Kathrin Vogler,Germany
Kristina Vogt,Germany
Ute Vogt,Germany
Marja-Liisa Völlers,Germany
Antje Vollmer,Germany
Angelika Volquartz,Germany
Katharina von Schnurbein,Germany
Anna-Elisabeth von Treuenfels-Frowein,Germany
Emily Vontz,Germany
Andrea Voßhoff,Germany
Sahra Wagenknecht,Germany
Daniela Wagner,Germany
Doris Wagner (Bundestag),Germany
Ruth Wagner,Germany
Beate Walter-Rosenheimer,Germany
Johanna Wanka,Germany
Nina Warken,Germany
Halina Wawzyniak,Germany
Gabi Weber,Germany
Sandra Weeser,Germany
Melanie Wegling,Germany
Christel Wegner,Germany
Alice Weidel,Germany
Petra Weis,Germany
Sabine Weiss (politician),Germany
Karin von Welck,Germany
Heike Wermer,Germany
Katrin Werner,Germany
Nicole Westig,Germany
Bernadette Weyland,Germany
Annette Widmann-Mauz,Germany
Heidemarie Wieczorek-Zeul,Germany
Irina von Wiese,Germany
Bettina Wiesmann,Germany
Cornelia Willius-Senzer,Germany
Katharina Willkomm,Germany
Elisabeth Winkelmeier-Becker,Germany
Tina Winklmann,Germany
Claudia Winterstein,Germany
Lencke Wischhusen,Germany
Janine Wissler,Germany
Mechthilde Wittmann,Germany
Dagmar Wöhrl,Germany
Karin Wolff,Germany
Barbara Woltmann,Germany
Monika Wulf-Mathies,Germany
Elke Wülfing,Germany
Andrea Ypsilanti,Germany
Uta Zapf,Germany
Helga Zepp-LaRouche,Germany
Emmi Zeulner,Germany
Dagmar Ziegler,Germany
Pia Zimmermann,Germany
Sabine Zimmermann (politician),Germany
Gudrun Zollner,Germany
Katrin Zschau,Germany
Brigitte Zypries,Germany
Marlies Amann-Marxer,Lienchshtein
Gisela Biedermann,Lienchshtein
Susanne Eberle-Strub,Lienchshtein
Katrin Eggenberger,Lienchshtein
Aurelia Frick,Lienchshtein
Manuela Haldner-Schierscher,Lienchshtein
Dominique Hasler,Lienchshtein
Rita Kieber-Beck,Lienchshtein
Graziella Marok-Wachter,Lienchshtein
Gunilla Marxer-Kranz,Lienchshtein
Sabine Monauni,Lienchshtein
Bettina Petzold-Mähr,Lienchshtein
Andrea Willi,Lienchshtein
Christine Wohlwend,Lienchshtein
Diane Adehm,Luxembourg
Barbara Agostino,Luxembourg
Semiray Ahmedova,Luxembourg
Sylvie Andrich-Duval,Luxembourg
Simone Asselborn-Bintz,Luxembourg
Yuriko Backes,Luxembourg
Djuna Bernard,Luxembourg
Taina Bofferding,Luxembourg
Anne Brasseur,Luxembourg
Corinne Cahen,Luxembourg
Carole Dieschbourg,Luxembourg
Christine Doerner,Luxembourg
Joëlle Elvinger,Luxembourg
Stéphanie Empain,Luxembourg
Lydie Err,Luxembourg
Marie-Thérèse Gantenbein-Koullen,Luxembourg
Marie-Josée Jacobs,Luxembourg
Martine Kemp,Luxembourg
Josée Lorsché,Luxembourg
Elisabeth Margue,Luxembourg
Octavie Modert,Luxembourg
Stéphanie Obertin,Luxembourg
Viviane Reding,Luxembourg
Martine Reicherts,Luxembourg
Renée Wagener,Luxembourg
Eliana Benador,Switzerland
Barbara Berlusconi,Switzerland
Martine Clozel,Switzerland
Ruth Guler,Switzerland
Nayla Hayek,Switzerland
Stefanie Heimgartner,Switzerland
Carole Hübscher,Switzerland
Gardi Hutter,Switzerland
Mirjam Indermaur,Switzerland
Dominique Lévy,Switzerland
Margarita Louis-Dreyfus,Switzerland
Min Li Marti,Switzerland
Cornelia Meyer,Switzerland
Vera Michalski,Switzerland
Princess Nina of Greece and Denmark,Switzerland
Barbara Polla,Switzerland
Bettina Schaller,Switzerland
Nadja Sieger,Switzerland
Beatrice Weder di Mauro,Switzerland
Françoise Wilhelmi de Toledo,Switzerland
Bettina Würth,Switzerland
Esther Alder,Switzerland
Evi Allemann,Switzerland
Cesla Amarelle,Switzerland
Céline Amaudruz,Switzerland
Viola Amherd,Switzerland
Sibel Arslan,Switzerland
Marlies Bänziger,Switzerland
Marie Barbey-Chappuis,Switzerland
Élisabeth Baume-Schneider,Switzerland
Judith Bellaiche,Switzerland
Kathrin Bertschy,Switzerland
Martina Bircher,Switzerland
Violaine Blétry-de Montmollin,Switzerland
Florence Brenzikofer,Switzerland
Christiane Brunner,Switzerland
Martine Brunschwig Graf,Switzerland
Elise Buckle,Switzerland
Nelly Buntschu,Switzerland
Micheline Calmy-Rey,Switzerland
Corina Casanova,Switzerland
Liliane Chappuis,Switzerland
Élisabeth Decrey Warner,Switzerland
Verena Diener,Switzerland
Ruth Dreifuss,Switzerland
Christine Egerszegi,Switzerland
Yvette Estermann,Switzerland
Ylfete Fanaj,Switzerland
Jacqueline Fehr,Switzerland
Yvonne Feri,Switzerland
Anita Fetz,Switzerland
Doris Fiala,Switzerland
Sylvia Flückiger-Bäni,Switzerland
Erika Forster-Vannini,Switzerland
Esther Friedli,Switzerland
Cornelia Füeg,Switzerland
Tamara Funiciello,Switzerland
Chantal Galladé,Switzerland
Johanna Gapany,Switzerland
Andrea Geissbühler,Switzerland
Ruth Genner,Switzerland
Yvonne Gilli,Switzerland
Fina Girard,Switzerland
Andrea Gmür-Schönenberger,Switzerland
Nadine Gobet,Switzerland
Maya Graf,Switzerland
Diana Gutjahr,Switzerland
Josy Gyr-Steiner,Switzerland
Brigitte Häberli-Koller,Switzerland
Trix Heberlein,Switzerland
Stefanie Heimgartner,Switzerland
Verena Herzog,Switzerland
Annemarie Huber-Hotz,Switzerland
Marianne Huguenin,Switzerland
Ruth Humbel,Switzerland
Jasmin Hutter,Switzerland
Francine John-Calame,Switzerland
Barbara Marty Kälin,Switzerland
Irène Kälin,Switzerland
Katja Riem,Switzerland
Karin Keller-Sutter,Switzerland
Ursula Koch,Switzerland
Livia Leu Agosti,Switzerland
Susanne Leutenegger Oberholzer,Switzerland
Doris Leuthard,Switzerland
Ruth Lüthi,Switzerland
Brenda Mäder,Switzerland
Christa Markwalder,Switzerland
Martha Niquille,Switzerland
Min Li Marti,Switzerland
Samira Marti,Switzerland
Magdalena Martullo-Blocher,Switzerland
Nadine Masshardt,Switzerland
Corine Mauch,Switzerland
Liliane Maury Pasquier,Switzerland
Lisa Mazzone,Switzerland
Josi Meier,Switzerland
Ruth Metzler,Switzerland
Mattea Meyer,Switzerland
Thérèse Meyer,Switzerland
Monika Rüegger,Switzerland
Simone de Montmollin,Switzerland
Tiana Angelina Moser,Switzerland
Hanna Muralt Müller,Switzerland
Lucia Näfen-Zehnder,Switzerland
Margret Kiener Nellen,Switzerland
Gisèle Ory,Switzerland
Nadja Pieren,Switzerland
Barbara Polla,Switzerland
Katharina Prelicz-Huber,Switzerland
Estelle Revaz,Switzerland
Natalie Rickli,Switzerland
Maja Riniker,Switzerland
Maria Roth-Bernasconi,Switzerland
Regula Rytz,Switzerland
Sandrine Salerno,Switzerland
Françoise Saudan,Switzerland
Regine Sauter,Switzerland
Silvia Schenker,Switzerland
Therese Schläpfer,Switzerland
Marionna Schlatter,Switzerland
Elisabeth Schneider-Schneiter,Switzerland
Chiara Simoneschi-Cortesi,Switzerland
Simonetta Sommaruga,Switzerland
Barbara Steinemann,Switzerland
Marianne Streiff-Feller,Switzerland
Lilian Studer,Switzerland
Gabriela Suter,Switzerland
Adèle Thorens Goumaz,Switzerland
Lilian Uchtenhagen,Switzerland
Ursula Schneider Schüttel,Switzerland
Flavia Wasserfallen,Switzerland
Eveline Widmer-Schlumpf,Switzerland
Brigit Wyss,Switzerland
Sarah Wyss,Switzerland
Ursula Wyss,Switzerland
Karen Aliprendi,Monaco 
Nathalie Amoratti-Blanc,Monaco 
Corinne Bertani,Monaco 
Brigitte Boccone-Pagès,Monaco 
Michèle Dittlot,Monaco 
Béatrice Fresko-Rolfo,Monaco 
Marie-Noëlle Gibelli,Monaco 
Marine Grisoul,Monaco 
Nicole Manzone-Saquet,Monaco 
Roxane Noat-Notari,Monaco 
Caroline Rougaignon-Vernin,Monaco 
Karin Adelmund,Netherlands
Lies van Aelst,Netherlands
Fleur Agema,Netherlands
Eva Akerboom,Netherlands
Nebahat Albayrak,Netherlands
Charetti America-Francisca,Netherlands
Agnes van Ardenne,Netherlands
Khadija Arib,Netherlands
Tamara van Ark,Netherlands
Amma Asante (politician),Netherlands
Naïma Azough,Netherlands
Martine Baay-Timmerman,Netherlands
Bente Becker,Netherlands
Sandra Beckerman,Netherlands
Ybeltje Berckmoes-Duindam,Netherlands
Joba van den Berg,Netherlands
Vera Bergkamp,Netherlands
Magda Berndsen,Netherlands
Marijke van Beukering,Netherlands
Ilse Bezaan,Netherlands
Yvonne Bijenhof,Netherlands
Ank Bijleveld,Netherlands
Philomena Bijlhout,Netherlands
Marja van Bijsterveldt,Netherlands
Mirjam Bikker,Netherlands
Elly Blanksma-van den Heuvel,Netherlands
Betty de Boer,Netherlands
Désirée Bonis,Netherlands
Elise Boot,Netherlands
Els Borst,Netherlands
Kauthar Bouchallikht,Netherlands
Lea Bouwmeester,Netherlands
Corrie van Brenk,Netherlands
Carline van Breugel,Netherlands
Ankie Broekers-Knol,Netherlands
Laura Bromet,Netherlands
Hanke Bruins Slot,Netherlands
Faith Bruyning,Netherlands
Brigitte van der Burg,Netherlands
Jet Bussemaker,Netherlands
Ingrid de Caluwé,Netherlands
Suzanne Camelia-Römer,Netherlands
Yasemin Cegerek,Netherlands
Glimina Chakor,Netherlands
Jacqueline Cramer,Netherlands
Hind Dekker-Abdulaziz,Netherlands
Sybilla Dekker,Netherlands
Ineke Dezentjé Hamming-Bluemink,Netherlands
Irene Dick,Netherlands
Inge van Dijk,Netherlands
Sharon Dijksma,Netherlands
Pia Dijkstra,Netherlands
Carla Dik-Faber,Netherlands
Sjoera Dikkers,Netherlands
Isabelle Diks,Netherlands
Willie Dille,Netherlands
Sarah Dobbe,Netherlands
Wendy van Eijk,Netherlands
Angelien Eijsink,Netherlands
Corinne Ellemeet,Netherlands
Ingrid van Engelshoven,Netherlands
Eva van Esch,Netherlands
Kathleen Ferrier (politician),Netherlands
Karien van Gennip,Netherlands
Ineke van Gent,Netherlands
Lucille George-Wout,Netherlands
Karen Gerbrands,Netherlands
Sharon Gesthuizen,Netherlands
Rosita van Gijlswijk,Netherlands
Lisa van Ginneken,Netherlands
Stieneke van der Graaf,Netherlands
Fleur Gräper,Netherlands
Laetitia Griffith,Netherlands
Melissa Gumbs,Netherlands
Sultan Günal-Gezer,Netherlands
Nilüfer Gündoğan,Netherlands
Liane den Haan,Netherlands
Wassila Hachchi,Netherlands
Kiki Hagen,Netherlands
Femke Halsema,Netherlands
Mariëtte Hamer,Netherlands
Vivianne Heijnen,Netherlands
Conny Helder,Netherlands
Lilian Helder,Netherlands
Eveline Herfkens,Netherlands
Sophie Hermans,Netherlands
Rosanne Hertzberger,Netherlands
Grisha Heyliger-Marten,Netherlands
Jacqueline van den Hil,Netherlands
Myrthe Hilkens,Netherlands
Daniëlle Hirsch,Netherlands
Maria van der Hoeven,Netherlands
Guusje ter Horst,Netherlands
Alexandra van Huffelen,Netherlands
Tineke Huizinga,Netherlands
Kirsten van den Hul,Netherlands
Lutz Jacobi,Netherlands
Silveria Jacobs,Netherlands
Tanja Jadnanansing,Netherlands
Lilian Janse,Netherlands
Daniëlle Jansen,Netherlands
Winny de Jong,Netherlands
Emily de Jongh-Elhage,Netherlands
Annemarie Jorritsma,Netherlands
Agnes Joseph,Netherlands
Sigrid Kaag,Netherlands
Marian Kaljouw,Netherlands
Roelien Kamminga,Netherlands
Agnes Kant,Netherlands
Sadet Karabulut,Netherlands
Hülya Kat,Netherlands
Barbara Kathmann,Netherlands
Mona Keijzer,Netherlands
Simone Kennedy (politician),Netherlands
Simone Kerseboom,Netherlands
Reinette Klever,Netherlands
Jetta Klijnsma,Netherlands
Marieke Koekkoek,Netherlands
Monique Koeyers-Felida,Netherlands
Nine Kooiman,Netherlands
Femke Merel van Kooten,Netherlands
Fatma Koşer Kaya,Netherlands
Margot Kraneveldt,Netherlands
Mirjam Krijnen,Netherlands
Neelie Kroes,Netherlands
Suzanne Kröger,Netherlands
Anne Kuik,Netherlands
Attje Kuiken,Netherlands
Antoinette Laan-Geselschap,Netherlands
Jeanet van der Laan,Netherlands
Ilona Lagas,Netherlands
Flora Lagerwerf-Vergunst,Netherlands
Esmah Lahlah,Netherlands
Renske Leijten,Netherlands
Helma Lodders,Netherlands
Janneke Louisa,Netherlands
Anne-Wil Lucas,Netherlands
Loekie van Maaren-van Balen,Netherlands
Senna Maatoug,Netherlands
Marit Maij,Netherlands
Lilianne Marijnissen,Netherlands
Leona Marlin-Romeo,Netherlands
Claire Martens,Netherlands
Ingrid Michon,Netherlands
Anouchka van Miltenburg,Netherlands
Agnes Mulder,Netherlands
Songül Mutluer,Netherlands
Annabel Nanninga,Netherlands
Helma Neppérus,Netherlands
Tineke Netelenbos,Netherlands
Jeltje van Nieuwenhoven,Netherlands
Jeanet Nijhof-Leeuw,Netherlands
Kajsa Ollongren,Netherlands
Astrid Oosenbrug,Netherlands
Cynthia Ortega,Netherlands
Gonny van Oudenallen,Netherlands
Esther Ouwehand,Netherlands
Hilde Palland,Netherlands
Sandra Palmen,Netherlands
Marleen de Pater-van der Meer,Netherlands
Mariëtte Patijn,Netherlands
Mariëlle Paul,Netherlands
Wieke Paulusma,Netherlands
Annemarie Penn-te Strake,Netherlands
Gaby Perin-Gopie,Netherlands
Anita Pijpelink,Netherlands
Caroline van der Plas,Netherlands
Lilianne Ploumen,Netherlands
Adèle van der Pluijm-Vrede,Netherlands
Anne-Marijke Podt,Netherlands
Elisabeth Post,Netherlands
Wytske Postma,Netherlands
Nicki Pouw-Verweij,Netherlands
Queeny Rajkowski,Netherlands
Kelly Regterschot,Netherlands
Simone Richardson,Netherlands
Ilana Rooderkerk,Netherlands
Yvonne van Rooy,Netherlands
Fonda Sahla,Netherlands
Jolande Sap,Netherlands
Léonie Sazias,Netherlands
Afke Schaart,Netherlands
Edith Schippers,Netherlands
Elizabeth Schmitz,Netherlands
Carola Schouten,Netherlands
Melanie Maas Geesteranus,Netherlands
Anoushka Schut-Welkzijn,Netherlands
Tjitske Siderius,Netherlands
Sylvana Simons,Netherlands
Elke Slagt-Tichelman,Netherlands
Merlien Welzijn,Netherlands
Pauline Smeets,Netherlands
Margreeth Smilde,Netherlands
Manja Smits,Netherlands
Janneke Snijder-Hazelhoff,Netherlands
Winnie Sorgdrager,Netherlands
Anne-Marie Spierings,Netherlands
Liesbeth Spies,Netherlands
Mirjam Sterk,Netherlands
Petra Stienen,Netherlands
Charlene de Carvalho-Heineken,Netherlands
Jalila Essaïdi,Netherlands
Felienne Hermans,Netherlands
Marga Hoek,Netherlands
Maria van der Hoeven,Netherlands
Tineke Huizinga,Netherlands
Annemarie Jorritsma,Netherlands
Neelie Kroes,Netherlands
Loiza Lamers,Netherlands
Mariska Majoor,Netherlands
Yvonne van Rooy,Netherlands
Edith Schippers,Netherlands
Eegje Schoo,Netherlands
Melanie Maas Geesteranus,Netherlands
Julia Skupchenko,Netherlands
Marina Tognetti,Netherlands
Rita Verdonk,Netherlands
Princess Viktória de Bourbon de Parme,Netherlands
