"Elfrieda ""Freddy"" Hiebert"
Donna Hilley
Raelynn Hillhouse
Jacqueline Hinman
Maria Hinojosa
Irene Hirano
Lauren Hobart
Judi Hofer
Jean L. Hoffman
Lisa Hoffman
Merle Hoffman
Sally Hogshead
Vicki Hollub
Elizabeth Holmes
Joan Holmes
Lucy Hood
Judith Richards Hope
Deborah Chase Hopkins
Fran Horowitz
Dorothy Horrell
Roberta Hoskie
Susan Houde-Walter
Dawn Hudson
Linda Hudson
Donna Rice Hughes
Jeanne Hulit
Christine Hunsicker
Vivian Hunt
Joyce Hunter
Sophia Hutchins
Jennie Hwang
Jennifer Hyman
Suzanne Ildstad
Martha Rivers Ingram
Maryana Iskander
Jessica Jackley
Catherine Hoke
Rachel Jacobs
Chantilly Jaggernauth
Leila Janah
Paige Jansen-Nichols
Valerie Jarrett
Jackie Jenkins-Scott
Carol Jenkins (activist)
Kylie Jenner
Suzanne Jenniches
Christine Jennings
Anabel Jensen
Mary Lou Jepsen
Jess Mah
Sally Jewell
Marie Johns
Helen Johnson-Leipold
Abigail Johnson
Kim Jones (businesswoman)
Lidiane Jones
Lynda Marie Jordan
Nicole Joseph-Chin
Andrea Jung
Jessica Jung
Loveleen Kacker
Susan Kamil
Karen Kane
Katherine Anna Kang
Elle Kaplan
Liz Kaplow
Kim Kardashian
Erika Karp
Trish Karter
Cameron Kashani
Huda Kattan
Gail Katz
Sumaya Kazi
Margaret M. Keane
Gina Keatley
Kathy Kemper
Lesa France Kennedy
Deborah Kenny
Vanessa Kerry
Reshma Kewalramani
Sue Khim
Bobbie Kilberg
Angela King-Twitero
Jane King (journalist)
Georgette Klinger
Sally Kohn
Eileen Kraus
Sarah Kauss
Sallie Krawcheck
Stephanie Kugelman
Janice Lachance
Sarah Miyazawa LaFleur
Katrina Lake
Laura Lang
Maxine Lapiduss
Nicole LaPointe Jameson
Estée Lauder (businesswoman)
Evelyn Lauder
Risa Lavizzo-Mourey
Jennifer Lawton
Rochelle Lazarus
Alexandra Lebenthal
Sharon Lechter
Aileen Lee
Debra L. Lee
Jeannette H. Lee
Jennifer Lee (filmmaker)
Jess Lee (business)
Thai Lee
Talia Leman
Tara Lemmey
Michelle Lemmons-Poscente
Lou Leon Guerrero
Catherine A. Lesjak
Li Li Leung
Nadya Lev
Ann Lewis
Christina Lewis
Maryse Liburdi
Marcia J. Lipetz
Elizabeth Littlefield
Betty Liu
Holly Liu
Andrea Lo
Kimber Lockhart
Paula Long
Eva Longoria
Donna Lopiano
Pamela Lopker
Monica C. Lozano
Rebecca Lukens
Lisa Lutoff-Perlo
Barbara Lynch (restaurateur)
Lynn Mabry
Celestine Maddy
Michelle Madhok
Moj Mahdara
Katherine Maher
Dee Jay Mailer
Annie Turnbo Malone
Effa Manley
Minnie Lichtenstein Marcus
Kathryn V. Marinello
Barbara Martin Coppola
Cheryl Martin
Kathleen L. Martin
Gracia Martore
Joseph & Lisabeth Marziello
Elisabeth Mason
Natalie Massenet
Jessica Mathews
Karen J. Mathis
Jessica O. Matthews
Tonya Matthews
Tekedra Mawakana
Marissa Mayer
Kathleen Mazzarella
Shirley McBay
Carrie McCabe
Elizabeth McCaul
Gretchen W. McClain
Jessica McClintock
Sheri McCoy
Mary T. McDowell
Bonnie McElveen-Hunter
Tara McGowan
Judith McHale
Nancy McKinstry
Cheryl McKissack Daniel
Betsy McLaughlin
Megan E. McLaughlin
Linda McMahon
Michelle McMurry-Heath
Marcia McNutt
Diana McSherry
Stephanie K. Meeks
Stephanie Mehta
Eileen Melvin
Michaela Mendelsohn
Jane Mendillo
Sara Menker
Lydia Meredith
Heidi Messer
Ruth Messinger
Carol Meyrowitz
Carolyn Miles
Cheryl Miller (executive)
Jessica Mindich
Kathryn Minshew
Anne P. Mitchell
Hala Moddelmog
Dalia Mogahed
Catherine Mohr
In Jin Moon
Beth E. Mooney
